"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-10-06","0.25","68","75","63"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-10-07","0.00","70","78","65"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-10-08","0.03","70","81",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-10-09","0.00","69","81","66"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-10-10",,"71","76","66"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-10-11",,"72","78","67"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-10-12","0.01","62","78",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-10-13","0.00","63","68","57"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-10-14","0.08","71","90","63"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-10-15","0.00","63","90",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-10-16",,"62","70","57"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-10-17","0.73","65","71","56"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-10-18","0.00","69","75","60"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-10-19","0.01","69","82","63"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-10-20","0.13","70","82","64"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-10-21","0.00","72","90","64"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-10-22",,"72","90",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-10-23","0.01","72","82","69"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-10-24","0.13","72","79","69"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-10-25","0.31","69","77",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-10-26","0.01","66","75",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-10-27","0.00","67","73","60"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-10-28","0.07","65","76",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-10-29","0.36","66","76","60"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-10-30","0.00","69","77",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-10-31","0.06","71","77",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-11-01","0.00","72","79","70"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-11-02",,"76","86","67"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-11-03",,"77","88","71"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-11-04",,"78","93",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-11-05",,"71","93","69"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-11-06",,"69","76",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-11-07",,"69","76",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-11-08",,"80","90",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-11-09","0.11","70","90",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-11-10","0.00","65","76",
